title,description,url,subscriberCount,videoCount
Rola Official,"海外や日本で活動するローラの日々のやってみたい事などを配信
マジメな事からおもしろい事まで
アクティブに楽しく過ごすローラの日常を
気楽な感じで楽しくご覧になってハッピーになっていただければうれしいです",https://www.youtube.com/channel/UCkMs-Zr9pGixbqm0mhO8J7g,432000,8
水原希子/Kiko Mizuhara,"水原希子が好きな時に撮る！　
仕事でもプライベートでも世界を旅するKIKOがその国々の魅力をKIKOの観点から配信！
普段カメラが入れないバックステージやプライベートな空間、そして大切な家族の猫ちゃん4匹も！
そして世界中のクリエイターとここでしか出来ないショートフィルムやアート作品も配信！
とにかくGoing my wayな企画もどんどん配信予定！

水原希子がどういう人間か知りたい方は是非チャンネル登録をこちらから‍♀
https://www.youtube.com/kiko


Kiko shares glimpses of her life!
You will get to experience the world through her eyes. 
She will post her private and behind the scenes at work. Also, you’ll meet her cherished four cats. 
You can also find short films and artworks that Kiko worked with creators around the world; only available on this channel! 
Expect lots of content that Kiko does her way!

If you want to know who Kiko Mizuhara is, please subscribe to this channel!♀
https://www.youtube.com/kiko



▶Instagram◀
https://instagram.com/i_am_kiko

▶Twitter◀
https://twitter.com/kikoxxx

▶Official Website◀
https://www.kiko-mizuhara.com",https://www.youtube.com/channel/UCL-djkFiYtoeFRoExYitouw,46500,7
Yu Takahashi / 高橋ユウ,,https://www.youtube.com/channel/UCb2IFQz5uDuMgvgYI_KemqA,13900,14
辻ちゃんネル,,https://www.youtube.com/channel/UCNiurMpWExWgio2lqldycbA,468000,84
Japanese Ninja Kajisac TV,A Japanese famous comedian Kajiwara turns into a comical character Kajisac.,https://www.youtube.com/channel/UC642pLj4GXSj-0Ybdx3ytmA,1700000,485
HARUNA KOJIMA's cat nap,"こんにちは小嶋陽菜です💋
cat napにようこそ🐈メイクやファッション、
私の日常VLOGをシェアしていきます🔒✨

Hi, this is Haruna Kojima, 
Welcome to cat nap world 🐈🥂✨
I’m going to show you my beauty routine, my fashion, and my daily life through my vlog.

sns.
instagram
👩🏻・https://www.instagram.com/nyanchan22 
👶🏻・https://www.instagram.com/kemushichan22
Twitter・https://twitter.com/kojiharunyan
TikTok・http://vt.tiktok.com/dfD16Q/
💄Herlipto
http://www.herlipto.jp",https://www.youtube.com/channel/UCOjmYCnYlTcdoD2DKHvrV5g,232000,24
しもふりチューブ,"霜降り明星の2人がYouTubeで様々な企画に挑戦します！
毎日18時に動画を投稿していきます！
「漫才１００本アップ」を１つの目標に、オリジナルゲームやトークなど、
視聴者のあなたと一緒にチャンネルを作っていきたいです！

【企画・質問募集！】
「こんなゲームをやって欲しい！」「これについて話して欲しい！」
企画、質問、コメントお待ちしております！
ラジオのようにメールでも質問や企画を受け付けています。
チューブネームを名乗ってどんどんメール送ってください！
shimofuri@omo.jp.net

【例】
チューブネーム：粗品大好きっ子ちゃん
「もんじゃ早食いゲーム」を考えました。
材料と鉄板だけが置かれて、どの時点から食べ始めても良し。
どちらが早く食べられるのか対決して欲しいです♪

★高評価＆チャンネル登録をお願いします！
https://www.youtube.com/channel/UCpGpA7mSYmNJjLiJxKso5QA?sub_confirmation=1

★しもふりチューブTwitterアカウントはこちら
https://twitter.com/shimofuri_tube

★霜降り明星のTwitterアカウントはこちら
粗品　https://twitter.com/soshina3
せいや　https://twitter.com/simofuriseiyam

★霜降り明星のLINEスタンプはこちら
https://store.line.me/stickershop/product/3061098/ja
★霜降り明星のしゃべるLINEスタンプはこちら
https://store.line.me/stickershop/product/15519",https://www.youtube.com/channel/UCpGpA7mSYmNJjLiJxKso5QA,552000,222
中田敦彦のYouTube大学,中田敦彦が「教育系YouTuber」として、学べる動画を毎日更新。生で授業を受けたい人は中田敦彦オンラインサロン「PROGRESS」へ。入会はコチラ https://www.nakataatsuhiko.com/fanclub-salon,https://www.youtube.com/channel/UCFo4kqllbcQ4nV83WCyraiw,0,271
Kana Oya,,https://www.youtube.com/channel/UCtKgilJ5XwGkVbIm9WU3zYQ,40900,125
Moe Oshikiri./押切もえ,"押切もえです。

毎週 火・金曜１７時頃に更新します。

　
料理や美容、育児を含めた暮らしののことを紹介していきます。

いつも応援してくださるみなさんと、より親しくなれたら嬉しいな、と思って始めたチャンネルです。
初心者ですが、ぜひ観てくださいね！
ご意見、リクエストもお待ちしています。

よろしくお願いいたします。


twitter……@moeoshikiri

instagram……@moeoshikiri",https://www.youtube.com/channel/UCEsX43MVgpuQtpzRt7j5UZA,3330,8
ほんだのばいく,,https://www.youtube.com/channel/UC8pMBOI9vXf6fIM670vdIPw,1500000,5
バービーちゃんねる,,https://www.youtube.com/channel/UClc8aGFxiMvMC46HqsMigsQ,52400,13
